Uniprot_Id,Protein_Name,Gene_Name
Q16363,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),LAMA4
O15230,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),LAMA5
P07942,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),LAMB1
P55268,"Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta, S-LAM beta)",LAMB2
Q13751,Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta),LAMB3
P11047,"Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma, S-LAM gamma)",LAMC1
Q13753,"Laminin subunit gamma-2 (Cell-scattering factor 140 kDa subunit, CSF 140 kDa subunit) (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Ladsin 140 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Large adhesive scatter factor 140 kDa subunit) (Nicein subunit gamma)",LAMC2
P11279,"Lysosome-associated membrane glycoprotein 1, LAMP-1, Lysosome-associated membrane protein 1 (CD107 antigen-like family member A) (CD antigen CD107a)",LAMP1
P13473,"Lysosome-associated membrane glycoprotein 2, LAMP-2, Lysosome-associated membrane protein 2 (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)",LAMP2
O43504,"Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein, HBV X-interacting protein, HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)",LAMTOR5
O43813,"Glutathione S-transferase LANCL1, EC 2.5.1.18 (40 kDa erythrocyte membrane protein, p40) (LanC-like protein 1)",LANCL1
Q9NS86,LanC-like protein 2 (Testis-specific adriamycin sensitivity protein),LANCL2
P28838,"Cytosol aminopeptidase, EC 3.4.11.1 (Cysteinylglycine-S-conjugate dipeptidase, EC 3.4.13.23) (Leucine aminopeptidase 3, LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase, EC 3.4.11.5) (Prolyl aminopeptidase)",LAP3
Q9P2J5,"Leucine--tRNA ligase, cytoplasmic, EC 6.1.1.4 (Leucyl-tRNA synthetase, LeuRS)",LARS1
Q14847,"LIM and SH3 domain protein 1, LASP-1 (Metastatic lymph node gene 50 protein, MLN 50)",LASP1
P18428,"Lipopolysaccharide-binding protein, LBP",LBP
P04180,"Phosphatidylcholine-sterol acyltransferase, EC 2.3.1.43 (1-alkyl-2-acetylglycerophosphocholine esterase, EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase, PAF acetylhydrolase)",LCAT
P31025,"Lipocalin-1 (Tear lipocalin, Tlc) (Tear prealbumin, TP) (von Ebner gland protein, VEG protein)",LCN1
Q6UWW0,Lipocalin-15,LCN15
P80188,"Neutrophil gelatinase-associated lipocalin, NGAL (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)",LCN2
P13796,"Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1, LCP-1)",LCP1
P00338,"L-lactate dehydrogenase A chain, LDH-A, EC 1.1.1.27 (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit, LDH-M) (Renal carcinoma antigen NY-REN-59)",LDHA
P07195,"L-lactate dehydrogenase B chain, LDH-B, EC 1.1.1.27 (LDH heart subunit, LDH-H) (Renal carcinoma antigen NY-REN-46)",LDHB
P07864,L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X),LDHC LDH3 LDHX
O75610,Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B),LEFTY1 LEFTB LEFTYB UNQ278/PRO317
Q6P5S2,Protein LEG1 homolog,LEG1
P09382,"Galectin-1, Gal-1 (14 kDa laminin-binding protein, HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)",LGALS1
P17931,"Galectin-3, Gal-3 (35 kDa lectin) (Carbohydrate-binding protein 35, CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein, GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)",LGALS3
Q08380,"Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein, MAC2BP, Mac-2 BP) (Tumor-associated antigen 90K)",LGALS3BP
P47929,"Galectin-7, Gal-7 (HKL-14) (PI7) (p53-induced gene 1 protein)",LGALS7; LGALS7B
O00182,"Galectin-9, Gal-9 (Ecalectin) (Tumor antigen HOM-HD-21)",LGALS9
Q99538,"Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)",LGMN PRSC1
Q9H008,"Phospholysine phosphohistidine inorganic pyrophosphate phosphatase, hLHPP, EC 3.1.3.-, EC 3.6.1.1",LHPP
P42702,Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (CD antigen CD118),LIFR
Q8N6C8,"Leukocyte immunoglobulin-like receptor subfamily A member 3 (CD85 antigen-like family member E) (Immunoglobulin-like transcript 6, ILT-6) (Leukocyte immunoglobulin-like receptor 4, LIR-4) (Monocyte inhibitory receptor HM43/HM31) (CD antigen CD85e)",LILRA3
P48059,"LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1, PINCH-1) (Renal carcinoma antigen NY-REN-48)",LIMS1
Q9Y5X9,Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL) (Phospholipase A1) (EC 3.1.1.32),LIPG UNQ387/PRO719
P49257,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1),LMAN1
Q12907,"Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36, VIP36)",LMAN2
Q9NZU5,LIM and cysteine-rich domains protein 1 (Dyxin),LMCD1
P02545,Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32) ],LMNA
P20700,Lamin-B1,LMNB1
Q03252,Lamin-B2,LMNB2
Q8WWI1,"LIM domain only protein 7, LMO-7 (F-box only protein 20) (LOMP)",LMO7
P08519,"Apolipoprotein(a), Apo(a), Lp(a), EC 3.4.21.-",LPA
P06858,Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32),LPL LIPD
P22079,"Lactoperoxidase, LPO, EC 1.11.1.7 (Salivary peroxidase, SPO)",LPO
Q93052,Lipoma-preferred partner (LIM domain-containing preferred translocation partner in lipoma),LPP
O60711,Leupaxin,LPXN
P50851,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein),LRBA
P02750,"Leucine-rich alpha-2-glycoprotein, LRG",LRG1
Q07954,"Prolow-density lipoprotein receptor-related protein 1, LRP-1 (Alpha-2-macroglobulin receptor, A2MR) (Apolipoprotein E receptor, APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit, LRP-85; Low-density lipoprotein receptor-related protein 1 515 kDa subunit, LRP-515; Low-density lipoprotein receptor-related protein 1 intracellular domain, LRPICD ]",LRP1
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein, LRP 130) (GP130)",LRPPRC
A6NM11,Leucine-rich repeat-containing protein 37A2,LRRC37A2
O60309,Leucine-rich repeat-containing protein 37A3,LRRC37A3
Q8N1G4,Leucine-rich repeat-containing protein 47,LRRC47
Q8N9N7,Leucine-rich repeat-containing protein 57,LRRC57
Q96AG4,"Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34, p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed ]",LRRC59
Q9C099,Leucine-rich repeat and coiled-coil domain-containing protein 1 (Centrosomal leucine-rich repeat and coiled-coil domain-containing protein),LRRCC1
Q32MZ4,"Leucine-rich repeat flightless-interacting protein 1, LRR FLII-interacting protein 1 (GC-binding factor 2) (TAR RNA-interacting protein)",LRRFIP1
Q13449,Limbic system-associated membrane protein (LSAMP) (IgLON family member 3),LSAMP IGLON3 LAMP
Q9Y4Z0,"U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein, GRP)",LSM 4.00
Q9Y4Y9,U6 snRNA-associated Sm-like protein LSm5,LSM 5.00
P33241,"Lymphocyte-specific protein 1 (47 kDa actin-binding protein) (52 kDa phosphoprotein, pp52) (Lymphocyte-specific antigen WP34)",LSP1
Q86X29,Lipolysis-stimulated lipoprotein receptor (Angulin-1),LSR ILDR3 LISCH
P09960,"Leukotriene A-4 hydrolase, LTA-4 hydrolase, EC 3.3.2.6 (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H, EC 3.4.11.4)",LTA4H
Q14767,"Latent-transforming growth factor beta-binding protein 2, LTBP-2",LTBP2
Q9NS15,Latent-transforming growth factor beta-binding protein 3 (LTBP-3),LTBP3
P02788,"Lactotransferrin, Lactoferrin, EC 3.4.21.- (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H, Lfcin-H; Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C ]",LTF
Q9Y383,Putative RNA-binding protein Luc7-like 2,LUC7L2
P51884,"Lumican (Keratan sulfate proteoglycan lumican, KSPG lumican)",LUM
Q9BS40,"Latexin (Endogenous carboxypeptidase inhibitor, ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor, TCI)",LXN
Q6UXB3,Ly6/PLAUR domain-containing protein 2,LYPD2
O75608,"Acyl-protein thioesterase 1, APT-1, hAPT1, EC 3.1.2.- (Lysophospholipase 1) (Lysophospholipase I, LPL-I, LysoPLA I) (Palmitoyl-protein hydrolase, EC 3.1.2.22)",LYPLA1
Q9Y5Y7,"Lymphatic vessel endothelial hyaluronic acid receptor 1, LYVE-1 (Cell surface retention sequence-binding protein 1, CRSBP-1) (Extracellular link domain-containing protein 1) (Hyaluronic acid receptor)",LYVE1
P61626,"Lysozyme C, EC 3.2.1.17 (1,4-beta-N-acetylmuramidase C)",LYZ
Q8WZA0,Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein),LZIC
Q9NQ48,Leucine zipper transcription factor-like protein 1,LZTFL1
Q9UPN3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein, ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)",MACF1
O75367,"Core histone macro-H2A.1, Histone macroH2A1, mH2A1 (Histone H2A.y, H2A/y) (Medulloblastoma antigen MU-MB-50.205)",MACROH2A1
Q9P0M6,"Core histone macro-H2A.2, Histone macroH2A2, mH2A2",MACROH2A2
P61326,Protein mago nashi homolog,MAGOH
Q96A72,Protein mago nashi homolog 2,MAGOHB
O00754,"Lysosomal alpha-mannosidase, Laman, EC 3.2.1.24 (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide ]",MAN2B1
O00462,Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase),MANBA MANB1
P55145,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),MANF
P21397,"Amine oxidase [flavin-containing] A, EC 1.4.3.21, EC 1.4.3.4 (Monoamine oxidase type A, MAO-A)",MAOA
P27338,"Amine oxidase [flavin-containing] B, EC 1.4.3.21, EC 1.4.3.4 (Monoamine oxidase type B, MAO-B)",MAOB
P27816,"Microtubule-associated protein 4, MAP-4",MAP4
P28482,"Mitogen-activated protein kinase 1, MAP kinase 1, MAPK 1, EC 2.7.11.24 (ERT1) (Extracellular signal-regulated kinase 2, ERK-2) (MAP kinase isoform p42, p42-MAPK) (Mitogen-activated protein kinase 2, MAP kinase 2, MAPK 2)",MAPK1
P27361,"Mitogen-activated protein kinase 3, MAP kinase 3, MAPK 3, EC 2.7.11.24 (ERT2) (Extracellular signal-regulated kinase 1, ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44, p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)",MAPK3
Q15691,"Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1, EB1)",MAPRE1
Q9UPY8,"Microtubule-associated protein RP/EB family member 3 (EB1 protein family member 3, EBF3) (End-binding protein 3, EB3) (RP3)",MAPRE3
P29966,"Myristoylated alanine-rich C-kinase substrate, MARCKS (Protein kinase C substrate, 80 kDa protein, light chain, 80K-L protein, PKCSL)",MARCKS
P56192,"Methionine--tRNA ligase, cytoplasmic, EC 6.1.1.10 (Methionyl-tRNA synthetase, MetRS)",MARS1
P48740,"Mannan-binding lectin serine protease 1, EC 3.4.21.- (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1, MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100, RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain ]",MASP1
O00187,"Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]",MASP2
P31153,"S-adenosylmethionine synthase isoform type-2, AdoMet synthase 2, EC 2.5.1.6 (Methionine adenosyltransferase 2, MAT 2) (Methionine adenosyltransferase II, MAT-II)",MAT2A
Q9NZL9,"Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta, MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)",MAT2B
O00339,Matrilin-2,MATN2 UNQ193/PRO219
P43243,Matrin-3,MATR3
Q7Z434,"Mitochondrial antiviral-signaling protein, MAVS (CARD adapter inducing interferon beta, Cardif) (Interferon beta promoter stimulator protein 1, IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter, VISA)",MAVS
P02144,Myoglobin,MB
P11226,"Mannose-binding protein C, MBP-C (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin)",MBL2
P43121,Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146),MCAM
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial, MCCase subunit beta, EC 6.4.1.4 (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)",MCCC2
Q9ULC4,"Malignant T-cell-amplified sequence 1, MCT-1 (Multiple copies T-cell malignancies)",MCTS1
Q8NE86,"Calcium uniporter protein, mitochondrial, HsMCU (Coiled-coil domain-containing protein 109A)",MCU
P40925,"Malate dehydrogenase, cytoplasmic, EC 1.1.1.37 (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase, EC 1.1.1.96)",MDH1
P40926,"Malate dehydrogenase, mitochondrial, EC 1.1.1.37",MDH2
P21741,Midkine (MK) (Amphiregulin-associated protein) (ARAP) (Midgestation and kidney protein) (Neurite outgrowth-promoting factor 2) (Neurite outgrowth-promoting protein),MDK MK1 NEGF2
P48163,"NADP-dependent malic enzyme, NADP-ME, EC 1.1.1.40 (Malic enzyme 1)",ME1
P23368,"NAD-dependent malic enzyme, mitochondrial, NAD-ME, EC 1.1.1.38 (Malic enzyme 2)",ME2
P51608,"Methyl-CpG-binding protein 2, MeCp-2 protein, MeCp2",MECP2
Q9BUN1,Protein MENT (Methylated in normal thymocytes protein),MENT C1orf56 UNQ547/PRO1104
Q9H8H3,"Putative methyltransferase-like protein 7A, EC 2.1.1.- (Protein AAM-B)",METTL7A
O43451,"Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)",MGAM MGA MGAML
Q99685,"Monoglyceride lipase, MGL, EC 3.1.1.23 (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase, MAGL)",MGLL
Q99735,"Microsomal glutathione S-transferase 2, Microsomal GST-2, EC 2.5.1.18 (Glutathione peroxidase MGST2, EC 1.11.1.-) (Leukotriene C4 synthase MGST2, EC 4.4.1.20) (Microsomal glutathione S-transferase II, Microsomal GST-II)",MGST2
O14880,"Microsomal glutathione S-transferase 3, Microsomal GST-3 (Glutathione peroxidase MGST3, EC 1.11.1.-) (LTC4 synthase MGST3, EC 4.4.1.20) (Microsomal glutathione S-transferase III, Microsomal GST-III)",MGST3
P14174,"Macrophage migration inhibitory factor, MIF, EC 5.3.2.1 (Glycosylation-inhibiting factor, GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase, EC 5.3.3.12) (Phenylpyruvate tautomerase)",MIF
Q9UNW1,"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)",MINPP1 MIPP UNQ900/PRO1917
P46013,"Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67, Antigen KI-67, Antigen Ki67)",MKI67
Q14165,Malectin,MLEC
P58340,Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1),MLF 1.00
Q15773,Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2),MLF 2.00
P08473,Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10),MME EPN
P09238,"Stromelysin-2, SL-2, EC 3.4.24.22 (Matrix metalloproteinase-10, MMP-10) (Transin-2)",MMP10
P08253,72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX],MMP2 CLG4A
P22894,"Neutrophil collagenase, EC 3.4.24.34 (Matrix metalloproteinase-8, MMP-8) (PMNL collagenase, PMNL-CL)",MMP8
P14780,"Matrix metalloproteinase-9, MMP-9, EC 3.4.24.35 (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B, GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9 ]",MMP9
Q13201,"Multimerin-1 (EMILIN-4) (Elastin microfibril interface located protein 4, Elastin microfibril interfacer 4) (Endothelial cell multimerin) [Cleaved into: Platelet glycoprotein Ia*; 155 kDa platelet multimerin, p-155, p155 ]",MMRN1
P41218,Myeloid cell nuclear differentiation antigen,MNDA
Q9H8S9,"MOB kinase activator 1A (Mob1 alpha, Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B)",MOB1A
P34949,"Mannose-6-phosphate isomerase, EC 5.3.1.8 (Phosphohexomutase) (Phosphomannose isomerase, PMI)",MPI
P05164,"Myeloperoxidase, MPO, EC 1.11.2.2 [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain ]",MPO
Q00013,"55 kDa erythrocyte membrane protein, p55 (Membrane protein, palmitoylated 1)",MPP1
P25325,"3-mercaptopyruvate sulfurtransferase, MST, EC 2.8.1.2",MPST
P22897,"Macrophage mannose receptor 1, MMR (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor, hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)",MRC1
Q9BV20,"Methylthioribose-1-phosphate isomerase, M1Pi, MTR-1-P isomerase, EC 5.3.1.23 (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)",MRI1
P52815,"39S ribosomal protein L12, mitochondrial, L12mt, MRP-L12 (5c5-2) (Mitochondrial large ribosomal subunit protein bL12m)",MRPL12
P20585,"DNA mismatch repair protein Msh3, hMSH3 (Divergent upstream protein, DUP) (Mismatch repair protein 1, MRP1)",MSH3
Q13421,"Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor, MPF; Mesothelin, cleaved form ]",MSLN
P08118,"Beta-microseminoprotein (Immunoglobulin-binding factor, IGBF) (PN44) (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids, PSP-94, PSP94) (Seminal plasma beta-inhibin)",MSMB
P26038,Moesin (Membrane-organizing extension spike protein),MSN
P26927,"Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein, MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain ]",MST1
P00846,ATP synthase subunit a (F-ATPase protein 6),MT-ATP6
P00403,"Cytochrome c oxidase subunit 2, EC 7.1.1.9 (Cytochrome c oxidase polypeptide II)",MT-CO2
P02795,"Metallothionein-2, MT-2 (Metallothionein-2A) (Metallothionein-II, MT-II)",MT2A
Q13126,"S-methyl-5'-thioadenosine phosphorylase, EC 2.4.2.28 (5'-methylthioadenosine phosphorylase, MTA phosphorylase, MTAP, MTAPase)",MTAP
Q9Y6C9,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein),MTCH2
Q86UE4,"Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein, AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)",MTDH
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic, C1-THF synthase (Epididymis secretory sperm binding protein) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed ] [Includes: Methylenetetrahydrofolate dehydrogenase, EC 1.5.1.5; Methenyltetrahydrofolate cyclohydrolase, EC 3.5.4.9; Formyltetrahydrofolate synthetase, EC 6.3.4.3 ]",MTHFD1
P58546,Myotrophin (Protein V-1),MTPN
Q8N3F0,Maturin (Maturin neural progenitor differentiation regulator protein homolog) (Protein Ells1),MTURN
P15941,"Mucin-1, MUC-1 (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3, CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6, KL-6) (PEMT) (Peanut-reactive urinary mucin, PUM) (Polymorphic epithelial mucin, PEM) (Tumor-associated epithelial membrane antigen, EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha, MUC1-NT, MUC1-alpha; Mucin-1 subunit beta, MUC1-beta (MUC1-CT) ]",MUC1
Q8WXI7,"Mucin-16, MUC-16 (Ovarian cancer-related tumor marker CA125, CA-125) (Ovarian carcinoma antigen CA125)",MUC16
Q02817,"Mucin-2, MUC-2 (Intestinal mucin-2)",MUC2
Q99102,"Mucin-4, MUC-4 (Ascites sialoglycoprotein, ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) (Tracheobronchial mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1, ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2, ASGP-2) ]",MUC4
P98088,"Mucin-5AC, MUC-5AC (Gastric mucin) (Major airway glycoprotein) (Mucin-5 subtype AC, tracheobronchial) (Tracheobronchial mucin, TBM)",MUC5AC
Q9HC84,"Mucin-5B, MUC-5B (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",MUC5B
Q6W4X9,Mucin-6 (MUC-6) (Gastric mucin-6),MUC6
P53602,"Diphosphomevalonate decarboxylase, EC 4.1.1.33 (Mevalonate (diphospho)decarboxylase, MDDase) (Mevalonate pyrophosphate decarboxylase)",MVD
Q14764,"Major vault protein, MVP (Lung resistance-related protein)",MVP
P20591,"Interferon-induced GTP-binding protein Mx1 (Interferon-induced protein p78, IFI-78K) (Interferon-regulated resistance GTP-binding protein MxA) (Myxoma resistance protein 1) (Myxovirus resistance protein 1) [Cleaved into: Interferon-induced GTP-binding protein Mx1, N-terminally processed ]",MX1
Q9NR99,Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican),MXRA5
Q96S97,Myeloid-associated differentiation marker (Protein SB135),MYADM
Q969H8,"Myeloid-derived growth factor, MYDGF",MYDGF
Q9HB07,"MYG1 exonuclease, EC 3.1.-.-",MYG1
P35580,"Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B, NMMHC-B) (Non-muscle myosin heavy chain IIb, NMMHC II-b, NMMHC-IIB)",MYH10
P35749,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)",MYH11
Q7Z406,"Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc, NMHC II-C)",MYH14
P35579,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A, NMMHC-A) (Non-muscle myosin heavy chain IIa, NMMHC II-a, NMMHC-IIA)",MYH9
P05976,"Myosin light chain 1/3, skeletal muscle isoform, MLC1/MLC3, MLC1F/MLC3F (Myosin light chain alkali 1/2, Myosin light chain A1/A2)",MYL1
P19105,"Myosin regulatory light chain 12A (Epididymis secretory protein Li 24, HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)",MYL12A
P60660,"Myosin light polypeptide 6 (17 kDa myosin light chain, LC17) (Myosin light chain 3, MLC-3) (Myosin light chain alkali 3, Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)",MYL6
P24844,"Myosin regulatory light polypeptide 9 (20 kDa myosin light chain, LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)",MYL9
